Z,Year,min_temp,max_temp,avg_temp,readings_count,active_tcs_count,total_tcs_installed,mode (approx)
9350,2023,0.54885995,1171,100.066055,5840,16,16,42
9350,2024,2,1185.3032,88.365814,5856,16,16,39
9350,2025,12.865158,225,39.715927,2720,16,16,39
9450,2020,15.034846,53.68725,40.10112,3024,16,16,46
9450,2021,13.394846,64.46394,36.87964,5792,16,16,38
9450,2022,12.30338,59.769497,39.62205,5840,16,16,43
9450,2023,2.097561,1194.9816,48.90568,5840,16,16,47
9450,2024,9.881782,1192.7091,90.04431,5856,16,16,55
9450,2025,3.6923077,1160.1503,51.30101,2720,16,16,43
10400,2020,17.46379,1048.1029,60.009037,3024,16,16,44
10400,2021,8.339759,506,42.42912,5792,16,16,38
10400,2022,0.32389382,933.3066,77.48436,5840,16,16,41
10400,2023,0.37871957,1197.1772,122.699486,5840,16,16,42
10400,2024,1.659132,1196.013,165.30588,5856,16,16,43
10400,2025,0.43394575,1191.8088,197.63736,2720,16,16,722
10500,2020,35.09891,56.391903,44.6931,3024,16,16,44
10500,2021,3.943336,1186.5507,73.4451,5792,16,16,39
10500,2022,0.6823926,1175.7162,107.50781,5840,16,16,41
10500,2023,0.8507223,1198.9274,113.72361,5840,16,16,46
10500,2024,8.941016,1185,116.71448,5856,16,16,48
10500,2025,22.396997,92,41.814217,2720,16,16,42
11600,2016,39,207,133.54167,24,24,24,39
11600,2020,14.44186,1198.6755,72.65161,4536,24,24,40
11600,2021,15.017588,1200,68.75861,8688,24,24,37
11600,2022,4.618601,1174.8942,65.585594,8760,24,24,40
11600,2023,5.96394,1171.016,73.65421,8760,24,24,43
11600,2024,6.901305,1176.4027,101.9597,8784,24,24,43
11600,2025,9.111022,725,50.95859,4080,24,24,39
11700,2020,0.11651299,782.891,63.5747,4536,24,24,40
11700,2021,4.164898,1144.0507,93.327644,8688,24,24,38
11700,2022,0.5131796,1163.2404,86.71459,8760,24,24,42
11700,2023,7.4565396,1186.9396,96.34101,8760,24,24,45
11700,2024,0.23441397,1122.5466,53.20175,8784,24,24,44
11700,2025,0.13934426,1198.1694,84.97401,4080,24,24,41
13900,2020,11,1179,147.26366,6804,36,36,38
13900,2021,4.5499196,1186,183.72629,13032,36,36,38
13900,2022,0.059064806,1193.9769,229.9356,13140,36,36,43
13900,2023,2.132137,1198.6956,225.41454,13140,36,36,45
13900,2024,1.1742287,1193.9008,249.89996,13176,36,36,46
13900,2025,8.14687,1182,292.32666,6120,36,36,150
