TC_ID,Layer,Current Temp (Latest),Slope (deg/day),Baseline Temp 2014,Target Temp (115 Up),Intersection Date
94,5177,826,0.131079,-229.29,-114.29,5/28/2016
95,5177,938,0.137444,-353.42,-238.42,4/17/2016
96,5177,905,0.911117,-2199.37,-2084.37,5/8/2014
97,5177,24.4,0.079542,-109.57,5.43,12/17/2017
98,5177,220.01,0.280847,-441.83,-326.83,2/15/2015
99,5177,211.3,-0.373922,1594.7,1709.7,No Intersection (Stagnant/Cooling)
100,5177,212.78,0.30598,-542.74,-427.74,1/12/2015
101,5177,140.41,-1.032795,3460.15,3575.15,No Intersection (Stagnant/Cooling)
102,5177,542.15,0.33282,-837.48,-722.48,12/13/2014
103,5177,220.41,0.093025,-131.36,-16.36,5/22/2017
104,5177,210.98,0.274053,-575.18,-460.18,2/25/2015
105,5177,120.31,0.157366,-373.43,-258.43,1/2/2016
154,6177,138.31,-0.081458,469.4,584.4,No Intersection (Stagnant/Cooling)
155,6177,493.4,0.004058,406.74,521.74,8/3/2091
156,6177,431.5,-0.151431,816.74,931.74,No Intersection (Stagnant/Cooling)
157,6177,470.93,0.055975,204.31,319.31,8/18/2019
158,6177,317.68,0.057831,49.16,164.16,6/13/2019
159,6177,562.06,0.080689,172.06,287.06,11/27/2017
160,6177,588.03,0.100905,89.5,204.5,2/14/2017
161,6177,516.38,0.082914,142.5,257.5,10/19/2017
162,6177,462.27,0.057311,100.65,215.65,7/1/2019
163,6177,513.3,0.093156,136.69,251.69,5/20/2017
164,6177,497.53,0.115687,38.96,153.96,9/22/2016
165,6177,478.03,0.06,184.21,299.21,4/2/2019
166,6177,357.03,0.046846,40.45,155.45,9/21/2020
167,6177,153,-0.092247,496.41,611.41,No Intersection (Stagnant/Cooling)
168,6177,64,-0.131429,595.87,710.87,No Intersection (Stagnant/Cooling)
169,6177,385,0.02228,23.58,138.58,2/18/2028
170,6177,42,0.023837,-3.37,111.63,3/18/2027
